HP1BP3	OR1Q1
EBF1	CCDC153
DNAH14	AQP4
IST1	KDM6A
FAM57B	PIN1
ZSCAN23	BCKDK
LRRC6	PDDC1
LINC00211	ISX
PRAMEF14	DYT15
FAM92A1	P4HA2
LRP5L	MYCBP
RPS23	PRKCG
HCK	LINC00441
PIM1	MAP7D2
ADSS	ATP8B3
AP1S3	PACSIN1
CBX8	PZP
SLC25A29	VSIG10
RAB5B	RNASE2
HIGD1A	OBP2A
AKR1C4	SFXN1
PALMD	KLC4
BRAP	C15orf40
F5	C18orf55
PROX2	PRSS21
BMP6	PAPPA
HMGXB3	ANKRD34A
ZNF280D	CCL20
TRIM24	KRAS
SOX1	KRT7
TRPS1	TRIM6
GMFB	HOXC4
ZNF133	GHRH
L3MBTL3	ZNF619
IER3IP1	BOLA2B
UQCRFS1	CFDP1
PNPT1	NCAPD3
FANCD2OS	H3F3A
LOXL3	MRX26
CC2D1A	DAZ3
SMC3	SNORD111
MIR383	MYOM1
HBEGF	STK39
ADAM17	LINC00890
RBM12	DEFA6
TMEM260	GSK3A
ICA1	ZNF607
DCAF4	ADAM22
SH3D20	NOTCH2
SCD5	TMEM160
MPLKIP	OR10A3
VPS24	LMO3
XRCC5	SLC35E4
COA6	SLAMF8
NT5C3A	ARL13A
UBA6	GUCA2A
SLC15A3	CTSL
SMN2	AP1S3
KLHDC8B	SPICE1
LRRC26	HSP90AA2
GUCY1B3	PIWIL4
SST	MPHOSPH10
AREL1	TRNAU1
ASCC1	MROH8
FAM115A	LINC00907
CLMN	PSMD10
FAM84B	RNF122
TRNAE1	NUDT12
HIVEP1	RDX
GZMA	ATP2C2
GPR1	OR5AU1
EFCAB4A	ECEL1
YME1L1	IL36B
CIDEC	PPM1E
ZNF512	DCAF6
TRPC3	IER2
NR2F1	MICD
OR5V1	OR10A4
FBXL17	MAP4K1
CGREF1	WARS
TRAJ59	MCM9
PSMG3	RGS9BP
ZNF329	NME2
NREP	HSP90AA4P
L1CAM	MICD
LPHN2	LINC00604
SYPL1	GPN2
TRB	TMEM223
BEST3	PPFIBP1
OFCC1	CLK4
DOPEY2	CCDC25
BCRP4	PRDX5
OGDHL	NOP9
DZIP1L	TMEM126B
ZNF490	TSHZ2
INE2	POTEE
TM9SF4	TBX10
OR2W3	CDK2
CDK20	UPK2
NCOA3	CEP164
SRSF12	GGTA1P
CERCAM	NELL2
NEIL3	PCDHA7
CCDC114	LINC00687
FAM134C	OR2V1
LINC00657	GPR31
METTL6	AOM
OLIG1	PCGF3
TNFRSF21	NABP2
UTF1	RLN3
FURIN	MSH3
HDDC3	ORC3L
ZEB2	USP41
ZNF416	TRIM46
RAX	EIF4EBP2
UBR2	GLRA3
FAM45B	TBL1XR1
NOMO2	KIF2B
STXBP5	C17orf39
SOX1	HSD17B11
ABCC9	C9orf50
GRHL1	NUP35
ZFP28	FSTL4
KLF8	LINC00607
OR5M3	ANXA6
SEC13	ABHD17A
MRX6	CDA
STK38L	MPC2
SAMHD1	LIAS
TMEM194A	FAM83B
TNNC2	AIRN
ZNF101	TRNAT1
RSS	RPE65
APOD	VTI1B
RPA1	OR10A2
PACS2	OR2T2
MTHFD1L	NDUFB10
PROL1	KLHL30-AS1
PROSER1	SLC36A1
DBR1	ZBTB10
ARHGAP39	ZDHHC17
AIRE	C1orf216
SCD5	CACNA1S
PTGDR	TKT
CEP89	OR4K14
RPL3	CGRRF1
PDCD11	PSMB10
CLEC4E	SUGP2
MOCS3	NOS1
DDX49	KPNA3
SNORD108	LTB
RNASE4	ARHGEF9
OSTF1	PRMT7
SLC25A16	LY6G5B
PAX2	LINC00115
BRCA1	MOG
CXCL9	INPP4B
CCDC70	HIST1H4G
DCTN5	LINC01018
PUS10	RAB42
TNS4	ENPP2
DAGLB	PHKA2
CTTNBP2NL	PPP1R21
UBE2L3	GCA
FAH	WASH4P
EPC2	SLC6A19
ZNF625	PAXBP1
ZCCHC8	AKAP4
COL19A1	POU4F2
TSC22D3	DONSON
FAM120B	GRXCR1
KLHL24	GABRG3
CREBBP	PODXL2
DDX39A	IFT80
ARX	ARSD
TCL1B	SLC9B2
ACOX3	CALB1
ENTPD5	OR5L2
CCT6A	SLC16A13
CCDC23	UBFD1
OR51B2	TUBB3
ZC3H18	KCNQ4
HOOK1	SMIM10
LINC00571	CAGE1
CPA5	KIR3DS1
SLC17A5	UTP14A
DNAJB4	CISH
CCDC61	ATP8B4
SELO	GIGYF2
RPLP0P6	AK3
IL33	LAPTM5
SHOX2	TMPRSS3
GREB1	ISCA2
WDR16	SRPK1
TXLNG	EYA1
LMO1	RABGGTA
DEDD2	MCM5
ALOXE3	DDIT4
MRX82	TAS2R8
BMX	C4orf29
TMEM201	SLC22A18
E2F7	RPL29
ZCCHC4	PIK3CA
ABI3BP	PLA2G6
RAP1GAP2	GOSR2
PHF1	PRKCB1
RGL1	METTL18
TIMP1	SLC8B1
SOCS4	MGAT5
MT-CO3	IL17RB
PRIM1	CNOT7
ATG16L1	GABRP
GMCL1	ZYG11A
MYO10	IGSF23
UQCR10	TPX2
G6PC3	HBA2
GABBR1	TBCK
SHBG	ISY1
PLEKHA5	RPS6KC1
MBL2	IPMK
TOR1AIP1	MIEN1
SFTPB	HTR3C
CT64	ASB4
ADRA1B	MIR128-1
MRPL18	RCOR3
FSD1	EPHX4
TOP2B	INO80C
MARCH1	CACNA1G
HHEX	GEMIN4
SRGAP2P2	LINC00678
TIMP3	TBP
RGS14	UBE2D4
TAS2R7	ACAA1
SNTB2	PLA2G4C
NAT6	MPC2
MIR744	RAD54L
EVI5L	ZGLP1
PPFIA3	PLA2G4D
SEMA6A	SFXN1
XRCC1	WDR86
KCTD10	LINC01030
KRT82	RHOA
TDRD1	TAP1
TUBG2	SPPL2B
CUL2	RAD9B
DCUN1D4	BCL2
TMX3	NRXN1
RPS6KA5	RNLS
ZSCAN9	CRYGD
ACAD9	CABP7
TMEM132C	BAG4
METTL6	ANO10
GPR1	PUS10
POLDIP2	COX6A1
PIFO	ARHGEF11
NAPG	HSD17B7
ZNF559	TXNDC17
ASPH	ASCC1
PEA15	KPNA1
EVA1C	PCGF5
LINC00470	FTX
LINC00158	DNAH10
HERC2	RAPSN
RNASE1	ZBTB9
BNIPL	LINC00967
OR5H2	PIK3CD
MST4	CELF1
PPP1R27	SYNE1
ADAM21	DEFB108P1
CAPN14	SOS1
SULT2B1	CPA5
C10orf54	MARCO
TM9SF3	CCNL2
ARSF	SEC16A
KIAA1430	MASTL
AKIRIN1	HOXA2
CEP68	MKL1
GALNT7	KLHL32
SPANXF1	FBLL1
ATRAID	RSRC1
FAM153A	KHSRP
FAM86C1	PDHA1
IYD	GPR183
MYCBP	ELOVL4
C6orf15	MIF
RAB2A	ABI1
UHRF1BP1	RECQL4
TMEM190	SH2D1B
C19orf2	HRH3
SLC16A8	CREB5
ANKRD13B	SAT1
TSPAN12	ASB18
ADAMTS17	SLCO2A1
BCL3	IDE
SERPINA3	ABCC8
GMPS	FANK1
PCDHA11	RET
CHRNA5	KIAA1210
SNORD61	GPR27
BET1	ZNF569
LINC00936	ZNF131
JADE3	ASS1
KRTAP10-5	VPS13C
EEC1	PTHLH
NT5M	MND1
ANO1	C19orf33
NUTM2B	ZNF30
DNASE1L2	FEV
DLEU7	KIAA2013
ANXA8	SOX12
IDNK	MUC8
SLC28A2	PASD1
KRT28	XRCC2
DYRK2	ERP44
COQ4	LINC00638
ZDHHC2	UTRN
PEX2	ATF6B
TSPAN11	CCDC155
IGFBP5	PPP2R1A
ZNF774	SKP1
RPP25L	HAND2
RBM6	MRX53
CPNE5	PSMD12
TRABD	MTMR1
MAPKAP1	OR1F1
SF3A2	USP12P1
PCBP2	POTEF
RABGGTB	SPIB
SLC7A6	AASDHPPT
SLC30A5	IL7
RAB23	TMEM116
TRAPPC1	BMPER
GCDH	PKP2
CWC15	ZNF566
MRX28	LINC00630
MRX77	F9
RPS2	DCLRE1A
HIST1H1E	SLC30A6
PSMC4	RAB7B
SLC3A1	KRT17
SPATA5	DSCR10
COPB2	ZNF337
ZKSCAN4	BRAT1
CCDC102A	GPSM2
SIGLEC1	ACPL2
CDK2AP2	EIF3S10
NDUFS7	TPST2
IDDM14	MBL2
ZNF418	LAMC3
TMEM80	ONECUT3
MT-RNR2	TCF3
PRDM13	PDYN
DCX	PCDHA1
SSH1	AURKC
RALB	CYP2A
SFN	TTC27
FAM134C	ZNF236
SLC39A13	FKBP3
MED11	IARS
CLCN5	ABCC1
TBR1	SNRPB
HIST2H3PS2	C2orf16
NUDT1	FAM129B
LINC00702	SAMD15
IGHG2	LINC00211
ADORA2A	KALRN
MLXIPL	C16orf87
TTPAL	DOLK
APOB	HCG21
MRPS27	ISOC2
RIF1	MIR506
ACTL7A	DEFB4B
IMPG1	ANXA8
SULT1C2	GLUL
CIZ1	STRIP1
IPP	RPS21
OPA5	ZC3H6
PRMT2	KHDRBS1
TFCP2L1	TBC1D21
RPE	ZRSR2
HAAO	KCNA1
CDH10	KCNIP2
GLB1L2	FUCA2
P2RY6	ZCCHC7
TCTE3	ANO4
TRPC2	PHBP3
SNX33	UBR5
TPST1	LRRC8D
UGT2B15	ANKRD17
LINC00299	CDK5RAP1
LINC00843	TTC19
OFC1	USP25
KRCC1	LINC00950
KRTAP20-4	CUX1
BCL2L14	ADSS
PLCG2	VPS39
PNLIPRP2	CLEC4M
TMEM128	PROL1
RPS11	DTD2
CETN1	ST6GALNAC5
C17orf82	NUPL2
ALDH3B2	LINC00322
MBOAT2	WASF1
COX20	FASTKD1
H2AFX	MAGEA12
POMK	PTPRD
ZNF263	PRSS23
MIS18BP1	SLC35G2
SLC15A3	PIP4K2B
S100B	MIR130A
PIGA	MADD
AIG1	NAA15
IFNR	SPINK1
ZNF765	SEPSECS
KRT87P	SWAP70
MPV17L2	SLC17A8
HSD17B2	KRT19
FAM208B	AASDH
SYTL2	NPAS3
ISOC1	MPPED1
LINC00604	AQP6
FARP2	CTLA4
CISD2	PSORS9
SUMO1P1	SNORD127
CCDC82	EXOC1
P4HA3	IFNAR2
LINC00458	GM2A
LINC00523	SHC3
GJD3	FRAP1
UCN3	SPAG17
C11orf74	OR8H3
C16orf62	VMAC
IFNLR1	ENTPD3
SERPINB4	PCBP4
GBX2	LINC00852
DZIP1	TEX36
TNNI3	PDE1C
FLG2	SLC22A1
CYP3A7	OAF
CMTM4	TNFRSF1B
TIMP3	INTS6
GCLC	PPP1R10
SURF6	LINC01053
MEX3D	TAAR2
ENY2	CABYR
E2F5	FLRT3
ACAA1	ZFYVE19
DCDC2	PLK5
PPM1A	HGF
FABP1	EVX1
LY9	CLIC1
TG	ZC3H7A
UTS2	MYOZ1
CFP	ERCC6L2
MDFI	RPA3
PLXDC1	KL
PM20D1	ADORA3
PNMA2	RBM39
G0S2	HSD3B2
PPL	NASP
GPN3	CBX3
FXR2	VPREB1
HIST1H4L	RCAN2
SLC12A5	AKR1C1
OR5I1	OR4C3
ARL10	DDX25
CEP78	ANKRD26
ADAMTS3	MAP2K2
DEPDC1B	MYH14
GPR141	PSORS10
GLRA4	SH3BGRL3
LINC00994	TMEM38B
PALM2-AKAP2	ABCF1
KRTAP9-4	DNAJC5B
TIMP3	ATP2A3
USP17L9P	TMED9
SIRT2	HELT
PDRG1	LAT2
MAP1LC3A	SPAG8
TYK2	CNGB1
ITGB1BP3	MIR125B2
ZNF468	ZNF521
CDH24	BEND7
CCDC65	DCLK3
RP22	HPRT1
ZNF182	GPR101
PNLIPRP2	FASN
DNAJB2	HES1
UBL3	OR5W2
PSEN1	HBP1
SNX20	CXCR2
SIRT7	FCN2
ARPC1B	MAGI1
CUZD1	CDK2
ACSL3	MIEF1
MORN3	CGF1
CYFIP2	UAP1
HSPG2	FOXC1
PSPH	DNAJC27
OR4X1	ME3
ZNF555	ZCCHC2
IQCG	TIMM50
SDF2	MLKL
JAZF1	PGM2L1
FKBP9	ADCY8
FAM96A	DPY19L1
CYB5R3	FBXO39
DUSP13	CASP14
CDL1	ORC4L
STK40	S100G
FUCA1	LINC00652
DEFB135	NEUROG2
CYP4B1	RBM18
CAPRIN2	PHKG1
ZNF23	LPAR5
APCDD1	ALG12
GRAMD1A	FBXO30
FAM49B	ECT2
MTO1	ITGBL1
GPR64	LOC728026
OTOF	CCDC110
SLC31A1	PRICKLE1
ZNF512	PGM5
NDST4	POU6F2
HINT3	OR2C1
CYP4V2	THBS1
CLC	PDE9A
C1QL1	SCG5
BTC	OR4K13
EPB41L2	ANP32C
UCK1	VEGFC
LINC01075	ZKSCAN2
SH3D19	PUS7
SLC9A9	C9orf24
OR52K1	TMEM176A
ENTPD5	AREL1
RCC1	PSME4
LINC00954	MUTED
SMARCA4	OR6J1
ADAMTS10	STIL
MAATS1	TMEM39A
TFDP3	CCDC169
LINC00375	PDCD11
CHP2	ANAPC10
GARS	PPP1R1A
TMEM100	MRTO4
RPH3AL	MTMR6
SLA	OR11L1
ZNF861P	LTBP1
NCKAP1L	DYNLL1
FLJ44635	GEM
SLFN5	DGAT1
BZRAP1	MTHFS
SIRT1	ARHGEF3
AP2S1	OCEL1
RPRD1A	CDY2A
FEZF2	PHF15
GABRB1	UCKL1
XIC	E2F3
MTHFSD	DVL1
FZD7	IL23R
PDPN	RTN4IP1
SNRK	ZNF667
OR4C46	CLMP
KRT25	IFNAR2
SEC23A	RNF214
EIF4EBP3	PATL1
SNORD70	GNB3
OR6B3	CHN2
RGPD6	SNORD17
CDK2	CXCR4
PEA15	GABRB3
NDUFA7	RBP5
TNFAIP8L2	CEP57L1
LINC00900	CCL13
TINAG	SGMS2
MMP11	WNT4
LIAS	BAD
GNB5	SRF
LINC00684	APOPT1
MDM2	KIAA0100
RORA	ANKRD65
MYH7B	ARHGAP36
NCOR2	FAM60A
LINC00672	RWDD3
CA8	SNORD76
DUX4	POP4
PURB	E4F1
CCDC132	SEPT7P1
KIR2DL2	SPRYD3
NRBF2	NKX2-4
ITGA8	PARP4
KCTD15	MRX40
OR8H2	ST6GALNAC2
MT1IP	GORASP2
IFNA1	CELSR2
HES5	REN
ZNF20	SLC39A1
G0S2	ATP12A
GID8	ZNF844
WDR59	TMPRSS11A
STAM	SPCS1
KIAA0564	CNDP2
KIAA1751	PAIP1
DNAJB14	DHX15
STRADB	SERPINA10
FAM134C	ARPP19
SEMA3F	RSN
BRAT1	GTF2IRD2
RBFOX2	SYTL5
UBR2	NOMO3
GPNMB	MAP3K7CL
KCNG2	FBXO36
IGHD	FAM129A
ZNF230	PLG
DIO2	HOXB13
H3F3B	SPCS1
CRLS1	JARID2
RAPGEFL1	SMC2
APOL6	RAP1A
RBMS2	SNX18
BHLHE40	MYL2
B3GALTL	CALY
GNA12	OR1E2
OAT	PGA4
FOXD4L3	MAGEA2
PGAM1	ZBTB21
THOC2	FBF1
APOBEC3F	DST
ZNF572	ENKUR
HAGH	TPPP
GAGE5	PRICKLE1
CD68	KRT84
RPS6KB2	LINC00336
FGS3	ITK
MDM2	TSPAN4
FAM71F1	CLEC17A
NUCB1	C9orf50
OR52N1	VIM
QPCTL	BANP
SNAI1	FAM107A
DHX37	ARSD
DUSP23	FBXO11
LPCAT3	HCG22
RGS16	KDM8
HCRTR1	RRP7A
CTSO	TPST2
CCL25	FAM160A2
HDX	EFHD2
EML3	C10orf54
FBLL1	TRAJ39
RXFP3	TCF7L2
LINC00677	LINC00644
RASSF10	ZNF321P
FEZF1	ARHGAP39
ICAM4	SLC44A2
GCLM	IFITM3
IFI6	PPP2R2C
PTF1A	LINC01037
PLA2G2A	ZSCAN18
IGSF6	FOCAD
EFCAB1	KLF17
KRTAP5-9	KRR1
PTPRCAP	ZNF316
FAM92A1	AGAP2
C2orf16	PHBP8
CDC14A	MCF2
CARD6	CDT1
KRT5	TK1
MED11	ADCK1
HOXA1	SPARCL1
DMRT3	KLHDC8B
PSKH2	ZNF813
MFF	VMAC
GPRIN1	CASP8AP2
MYF5	NDUFAF5
PLEKHF2	MAVS
GPR160	TNFSF9
MINK1	OXT
TBC1D8	CFM1
C3orf17	KIAA1430
LINC00332	PBOV1
MSX2	SLC39A10
LOC100294341	YIPF6
ZNF169	EGI
GRHL1	NAGS
MIR1279	KPRP
STEAP1	SPTA1
ILF2	PDXP
TCEA3	CCDC63
USP19	FAR2
FAM127C	ZNF723
CASQ1	MYZAP
PIAS2	TRPC4
SOX2-OT	HDC
OSGIN2	TCF12
KRTAP9-3	TMOD4
GNA11	OR8D4
TCEB3	GNG7
C2orf88	MSI2
MPO	VIPAS39
CCBE1	DUSP10
CLCN2	HEY2
FCN1	ASH2L
CRYL1	MBD3
MAOB	RUFY3
RTF1	HYAL2
RFK	SNORD74
UPF3A	ANKRD55
ANGPT4	USP17L24
DPEP2	FBXO32
H2AFY2	XAGE1C
SNORD90	ISCA2
RBM10	PALMD
ZNF649	PER3
COQ9	TRIM27
UBE2QL1	HTR1F
MIF4GD	LINC01066
RASGEF1A	IBSP
RNF213	ARL6IP5
PLA2G16	UBTF
BEND2	CHKB
ZNF585B	RRN3P2
LINC00670	PCNT
RFC4	PLK4
ZNF703	PIP4K2A
MTRNR2L4	PCSK5
MYL6B	PSTPIP2
SCGB3A2	RGN
TFDP1	KIAA0754
RALGAPA2	MARK4
MARVELD3	AD5
NSMAF	WEE1
SLC47A2	CYP4F2
RRH	LCN8
TNF	KIAA1984
C19orf62	BAG5
THBS4	GRID1
MVB12B	MIR125B2
CELA1	OR52B6
EXOSC2	OLFM3
RGS10	BAIAP2
SLC9B2	KIF7
KDM4C	UBE2N
FABP2	FAM53C
NUP62	ADARB2
KCNJ5	EMD
SLC4A7	PROSER1
MST1R	UBE2R2
CLDN18	YIPF1
PYROXD2	SEC16A
CNRIP1	SLC9A3R1
CCND3	BCL2L2
OAP	DHRS13
POM121C	FBXO46
RNF151	CENPB
COPS7A	TSPAN8
ZMPSTE24	DYT15
SAMD9	PCCA
SLC25A33	GRM8
SNRP70	MMP20
DMBT1	MEPE
C1orf21	CTGF
CPA5	PDC
OSBPL6	SLC5A12
ZNF99	RAD51C
ZC3HC1	PRR19
TUB	SLC34A2
SLC25A41	ATP13A4
BLOC1S1	PAX7
GNRH2	SLC10A7
ZBTB42	BRF1
EPG5	UPRT
SLC17A7	MSH2
LRCH4	HIGD1A
ICT1	GNG12
FBXO30	ERGIC2
KLHL1	HES5
TMEM233	ARMC7
ADAMTS20	CD22
TMEM114	WDR5
LINC01040	INTS1
C7orf26	ANXA5
KRT27	GABBR1
TADA2A	CYSLTR2
NGFRAP1	GTF3C3
PROM2	RAC2
RFPL4B	ZMAT5
FDX1L	PDE12
TFG	CLEC4G
RRAS2	MYL1
NKX2-5	ZDHHC1
TXN	IRS4
DSCR10	NPLOC4
BNC2	ADRA2A
SNORD100	KRTAP11-1
LINC00676	MIR93
UNC93B7	DFFA
AEN	PPM1H
COL4A3	DEFA1
TMEM54	GRAMD2
HSDL2	NUPR1
AP1G1	SPECC1
PKN2	SEMA3C
PLCH2	TEP1
TGFB3	ABHD12
PTPRS	NOS3
RAI1	ZFPL1
SLC29A1	BMP15
GREM2	PDYN
NCR3	CDC16
KLHL38	OATP1
DCC	EML4
RHOQ	OR14K1
EMC9	YAP1
FOXE1	PIGO
S100P	SNORD95
FOXN2	MT1A
KLF17	SMEK1
GRHL3	MITF
MED30	ADAMTS19
ATG5	SLC5A5
SMCP	WIZ
C8G	ENTHD2
DYT7	UNKL
OR1G1	GPR26
MTCP1	THBS4
QSOX2	CTSV
TOX3	SLC4A10
ABCG5	PIN1P1
JAG2	ATG9B
SMC1B	AIPL1
TRAJ3	IRF2BP1
PTPRB	FOXD4L1
POT1	CFDP1
POU5F2	NUDCD1
PTGDS	PNOC
ZNF688	HNRNPLL
GPR1	ALS3
TEX35	IL1R2
C1orf228	MAPK11
MYOZ3	RSG1
LINC00458	SLC19A2
C17orf82	CCZ1B
SLC47A1	RPS11
STK19	SLC18A3
ZSWIM3	POLRMT
VTCN1	PACSIN3
SNORD61	GLRA2
FOXP2	SLCO1B3
PLEKHG5	OR4M1
LINC01015	LINC01034
PTGER4	USP49
RPS6KA1	EHMT2
NME4	ZNF133
LRRC46	CREBZF
OR52N5	MT1X
ADAMTS9	LEFTY1
TRAJ17	EPDR1
ZNF106	PIGM
NRTN	LTA
ERAP1	TFR2
MORF4L2	MAN2C1
RGL4	MUT
AGFG1	PGA3
CABP5	EOMES
PIN4	CA5A
TET1	FSTL3
ZNF579	LOC440292
GRID1	TPMT
RHBDL2	ZNF44
MUM1	SIGLEC12
KIAA0196	CARKD
C1orf174	SLC6A8
FRMPD1	EIF4E2
DHRS7B	CCDC73
TMEM18	CHD1
VMP1	DUS2
TTC19	HRH1
ZNF789	ZIC3
LAMTOR3	SLC38A10
NOS2	WHSC1
TTC18	CHST9
NIP7	ZNF225
FBXO30	ARSK
NAP1L3	IL23A
ANKRD42	CDCA5
CREB3	SNORD53
MRC1	SLC23A1
PLK1	OR6X1
EPHA8	SYNJ1
RAD54B	ECE2
CYP11B2	BCRP6
HSP90AA6P	PSORS2
BANF2	ZNF232
PRC1	PARK3
NCDN	FMO1
HS3ST2	FOXI1
STX8	CABP4
DHX34	PPIP5K1
EIF5A	ABI2
DCAF8	HCCAT4
ELMSAN1	ASAH2B
TREML1	SORD
SLC25A18	TRIM43
MRX11	TRMT61A
KCNH2	MICU1
MIR181A2	GOLGA6L10
ST3GAL4	PLCXD1
SHC1	SULT1B1
NUP160	HLA-DQB2
SELS	DNAJC27
SLC27A4	ANKHD1
RNF126	SLC38A3
CYP4F11	IFNE
SOS1	UBE2B
TPTE2	RPS14
FBXL2	TMEM196
RCN3	AKR1B1
GDPD5	MIPOL1
TRIM4	XAGE1B
CASP2	DUSP10
SLC17A2	DTL
AP4B1	KRT14
CDK1	KRTAP19-5
SNORD31	CCDC57
SLC25A44	INO80E
RAB1B	PPP1R14C
PRDX4	ELAC2
DCAF8L2	TCP1
CCDC87	ZNF395
SACM1L	UBL7
HLA-E	C11orf59
PURA	IVD
OSBP	CHEK2
POLA1	ALDH4A1
BARD1	MGMT
KIAA0564	NCOA2
ZCCHC13	NOS3
YTHDC1	PAQR4
GYPA	ANKRD35
NEMF	KIAA1210
RBM17	CXXC5
ZNF572	TMEM53
TMEM198	SLC35C2
STX6	GMIP
MKLN1	GPX4
REEP6	HNRNPCL1
TMEM63A	TSEN15
NAIF1	JPT1
ACSL1	FAM43B
ZNF408	TCP10
ATP2C1	HCLS1
UQCRQ	RBM10
HOXC13	GPR15
SIRT5	CAMK2D
MIR205	LRRC61
GCLC	WBSCR28
NBPF20	SBSN
SIRPD	TUBB4B
NYNRIN	SENP1
STK10	EIF2S1
OR52E6	SCLY
PLEKHH3	LMNB1
PARP12	DNAAF1
LINC00571	SLC2A3
GRID1	OTUD1
SIRPD	GCAT
MVP	SOX3
HSPA7	EFHD1
MEX3C	HHC3
ZNF542	ERC2
RPS17P5	TRNAA1
SLC25A11	SCUBE2
STXBP3	LINC00613
ZNF180	SNORD84
LINC00903	GAS6
FOXS1	TNFRSF8
ACSM2B	CSN3
EMILIN3	MRX23
VOPP1	CYP26C1
FEZ1	AKAP4
XXYLT1	C9orf114
ANKRD28	ZNF321P
MAMSTR	KIR2DS4
MBOAT4	CDC20
IDO1	SNORD22
SRD5A1	GDNF
KCNK3	AP4M1
ISOC1	EBPL
BEX1	PPP1R3B
JKAMP	PNMAL1
GPR173	SPDYA
FEZF2	CBFA2T2
TRAJ53	ZBTB26
TMOD3	ARMC10
KIAA1257	KCNV1
SPINK1	DTD2
AGO3	PRKRIP1
ADD2	ARHGEF18
ETHE1	ANTXR2
SAGE1	RPL23
HELZ2	PRUNE
TARBP2	LINC00087
TRAJ12	GPR4
ZFP64	ELOVL5
ITPA	MFRP
BLK	WDR64
RREB1	AFAP1L1
SPATS1	COA3
GBA3	NELFE
ALG13	ZNF136
ECE2	RFPL4AL1
KLC4	HYAL1
YIPF5	CRISPLD2
ZP2	QPRT
SNORD33	NCR2
FABP1	KMT2A
ARPC1B	CUL4A
CWF19L1	ANK3
PIK4CA	IL7R
EEF1D	SNCB
ALKBH3	KANSL3
TIMM8B	SYT7
EMB	STK6
SPPL3	NLN
SNRPEL1	RAB11FIP1
C15orf38-AP3S2	KHDRBS3
LILRB5	INVS
MAPKAPK5	ROBO2
EFCC1	KLF7
EIF1AX	SNTB2
PACRGL	LINC01046
DDX41	LINC00385
CUTC	ME2
RSPO2	POLD2
LINC00567	TM4SF20
C1orf122	PDGFC
LRRC57	OPN5
CMC4	APOL5
ITIH3	AKAP9
SMURF1	RTN4RL2
TRPM2	TFG
GPR26	RLIM
TMEM63A	KIAA1324
VAMP7	DRGX
TRIM48	IL37
DYT2	COPB2
BCAS3	KDM6B
CENPC1	MT3
SLC27A5	CROT
ZNF761	KIF1A
OR1J2	ISM2
ATXN7L3B	CRYGA
LINC00402	RICTOR
IL17F	VASH2
SPAST	CTSA
IRF5	SNRNP40
PRKY	G2E3
ZNF143	IFT43
HCAR1	MCM9
GRINA	GAD1
LINC00523	CPXM1
RBBP6	MRPL1
ROBLD3	PSMD9
PFDN5	LIMS3
CWF19L1	RARG
TRIP6	C9orf72
AZF1	LINC00888
TRBV12-3	SFTPB
HP	DCBLD2
METTL16	PPP2R5E
NEK7	P2RY13
ISCU	FBXO40
UVSSA	APPL2
RHOH	FANCM
LTB4R2	HFE
FAM109A	OR9K2
SCN4B	POGK
CALM1	DDAH1
OTULIN	CDC42EP3
ABHD5	PPDPF
ELAC2	ZNF572
ATP10D	OR5H2
TMEM205	NELFB
B3GAT3	DNAAF2
CTDSP2	OGFR
RNF149	KRTAP5-9
MT-ND4L	NPC2
HOMER1	CHRM1
EBNA1BP2	UNC5A
GJA8	HIST2H4A
BRIP1	DUSP18
CWF19L1	GZMH
MICU2	DCN
ARHGAP6	TMEM53
DVL1	DCK
MMP12	AVPI1
CCT2	ZNF81
UGT1A4	SHE
H2BFWT	XAGE1A
FAM111A	INPP4A
ERCC6L2	LINC00442
PLXNA2	CHKA
MRPL22	SMS
LINC00434	DTNB
TMEM138	RRM2
C17orf62	ZNF148
WDR36	RND1
TMEM62	TRAJ39
ATXN7L3B	KBTBD4
CCDC80	IRF2BP1
TLN1	OR10C1
COPS2	SUPT4H1
CYP2C8	EFHD1
PKD1L3	AOC3
MYH3	C10orf35
SARDH	SNORD97
KRTAP4-2	PAX6
ASRGL1	TRAJ6
GYPB	BNC1
SSR1	ZNF790
OR7G3	RNF170
RPGRIP1L	LINC00507
UBL4A	SEMA4B
CENPC	GABRA5
CCNB1IP1	OR51V1
ERI2	FOXRED2
DYNLL2	NIPSNAP1
LINC00587	LINC00307
COG3	SFXN1
KNSTRN	FGR
MRT21	KLK1
ANP32A	DNAAF1
C19orf43	BST2
LINC00564	TMEM238
ARID5A	MAMLD1
PIK3R3	FOXQ1
SNX27	ARHGDIA
GAGE7	NF1L5
IRF4	GPD1L
HCCAT5	TRIM63
CANX	TTLL8
SCO1	DMBT1
CTSC	HIST1H4J
RIMS4	IGHA1
C9orf80	C9orf114
PPP1R10	TBC1D3
CCL4L1	FNDC5
HMGA1	LINC00378
MTTER	PPA2
TBL3	BROX
NOSIP	CCDC175
ZNF8	PABPC4L
RPLP2	TRIT1
IKZF1	SULT1B1
LINC00593	GREB1L
OCIAD2	NAP1L1
SMARCA2	NPTX2
XRCC5	LILRA6
SLC13A4	ACER1
ZNF507	LINC00670
STXBP2	SSBP4
TEC	PIWIL1
INTS10	EFNB2
ROR2	ASPRV1
ATP8B4	FEZF2
KRTAP8-1	SDF2L1
NR5A1	AMPD1
DNAAF4	SLC22A24
MPRIP	CDK17
PLCD1	SNORD31
HLA-B	CASC4
NPAS4	OR3A3
ZNF2	AMBN
NDUFB1	GPR63
CNPPD1	TMEM171
